                      ,coef,se,p
Boudin_ac_lp_c1,-0.1614***,(0.023),0.0
Boudin_ac_lp_c2,-0.3102***,(0.054),0.0
Boudin_vc_lp_c1,-0.2352***,(0.032),0.0
Boudin_vc_lp_c2,-0.2947***,(0.058),0.0
Boudin_ac_no23_lp_c1,-0.1551***,(0.022),0.0
Boudin_ac_no23_lp_c2,-0.3618***,(0.051),0.0
Boudin_vc_no23_lp_c1,-0.1551***,(0.022),0.0
Boudin_vc_no23_lp_c2,-0.3618***,(0.051),0.0
Boudin_noqol_lp_c1,-0.3625***,(0.023),0.0
Boudin_noqol_lp_c2,-0.2545***,(0.05),0.0
Boudin_noqol_no23_lp_c1,-0.1551***,(0.022),0.0
Boudin_noqol_no23_lp_c2,-0.3618***,(0.051),0.0
